Position,Team,Points
1,Brazil,1841
2,Belgium,1817
3,Argentina,1774
4,France,1760
5,England,1728
6,Italy,1726
7,Spain,1715
8,Netherlands,1695
9,Portugal,1677
10,Denmark,1667
11,Germany,1650
12,Croatia,1646
13,Mexico,1645
14,Uruguay,1639
15,Switzerland,1636
16,USA,1627
17,Colombia,1611
18,Senegal,1584
19,Wales,1570
20,Iran,1565
21,Serbia,1564
22,Morocco,1564
23,Peru,1561
24,Japan,1560
25,Sweden,1553
26,Poland,1549
27,Ukraine,1537
28,Korea Republic,1530
29,Chile,1510
30,Tunisia,1508
31,Costa Rica,1504
32,Nigeria,1498
33,Russia,1496
34,Austria,1493
35,Czech Republic,1492
36,Hungary,1492
37,Algeria,1489
38,Australia,1489
39,Egypt,1486
40,Scotland,1480
41,Canada,1475
42,Norway,1473
43,Cameroon,1471
44,Ecuador,1464
45,Turkey,1460
46,Mali,1449
47,Paraguay,1449
48,Cote d'Ivoire,1443
49,Republic of Ireland,1440
50,Qatar,1440
51,Saudi Arabia,1438
52,Greece,1438
53,Romania,1435
54,Burkina Faso,1432
55,Slovakia,1426
56,Finland,1406
57,Venezuela,1404
58,Bosnia-Herzegovina,1404
59,Northern Ireland,1397
60,Panama,1393
61,Ghana,1393
62,Iceland,1384
63,Slovenia,1384
64,Jamaica,1379
65,North Macedonia,1359
66,Albania,1354
67,South Africa,1350
68,Iraq,1343
69,Montenegro,1341
70,UAE,1338
71,Cabo Verde,1336
72,Bulgaria,1335
73,Congo DR,1334
74,El Salvador,1331
75,Oman,1320
76,Israel,1317
77,Uzbekistan,1310
78,Georgia,1307
79,China PR,1305
80,Honduras,1302
81,Gabon,1302
82,Bolivia,1296
83,Guinea,1290
84,Jordan,1290
85,Bahrain,1281
86,Curacao,1279
87,Haiti,1269
88,Zambia,1267
89,Uganda,1261
90,Syria,1256
91,Benin,1247
92,Luxembourg,1244
93,Armenia,1234
94,Palestine,1234
95,Kyrgyz Republic,1230
96,Vietnam,1227
97,Belarus,1221
98,Equatorial Guinea,1216
99,Lebanon,1212
100,Congo,1209
101,Kenya,1202
102,Madagascar,1201
103,Mauritania,1198
104,Trinidad and Tobago,1195
105,New Zealand,1194
106,India,1192
107,Kosovo,1187
108,Tajikistan,1186
109,Estonia,1185
110,Cyprus,1184
111,Thailand,1175
112,Korea DPR,1170
113,Kazakhstan,1167
114,Mozambique,1165
115,Namibia,1164
116,Guinea-Bissau,1161
117,Sierra Leone,1160
118,Guatemala,1157
119,Angola,1156
120,Libya,1154
121,Niger,1153
122,Faroe Islands,1147
123,Azerbaijan,1147
124,Malawi,1145
125,Zimbabwe,1139
126,Gambia,1137
127,Togo,1129
128,Sudan,1127
129,Comoros,1123
130,Tanzania,1120
131,Antigua and Barbuda,1117
132,Central African Republic,1117
133,Philippines,1115
134,Latvia,1114
135,Turkmenistan,1100
136,Solomon Islands,1096
137,Rwanda,1094
138,Ethiopia,1091
139,Suriname,1077
140,St. Kitts and Nevis,1077
141,Burundi,1076
142,Nicaragua,1072
143,Eswatini,1071
144,Lithuania,1070
145,Hong Kong,1062
146,Malaysia,1062
147,Lesotho,1061
148,Botswana,1056
149,Kuwait,1053
150,Liberia,1050
151,Andorra,1035
152,Indonesia,1034
153,Dominican Republic,1032
154,Maldives,1026
155,Yemen,1024
156,Afghanistan,1023
157,Chinese Taipei,1018
158,Myanmar,1008
159,Papua New Guinea,1007
160,Singapore,1004
161,New Caledonia,996
162,Tahiti,995
163,Fiji,989
164,Vanuatu,986
165,South Sudan,984
166,Barbados,982
167,Cuba,979
168,Malta,978
169,Bermuda,977
170,Puerto Rico,974
171,Guyana,969
172,St. Lucia,966
173,Grenada,964
174,Moldova,961
175,Nepal,955
176,Belize,951
177,Cambodia,949
178,St. Vincent / Grenadines,945
179,Montserrat,941
180,Mauritius,932
181,Chad,930
182,Macau,922
183,Mongolia,914
184,Dominica,912
185,Bhutan,911
186,S�o Tom� e Pr�ncipe,908
187,Laos,906
188,American Samoa,900
189,Cook Islands,899
190,Brunei,898
191,Samoa,894
192,Bangladesh,884
193,Djibouti,875
194,Pakistan,867
195,Cayman Islands,866
196,Liechtenstein,862
197,Tonga,862
198,Timor-Leste,860
199,Seychelles,860
200,Eritrea,856
201,Aruba,855
202,Bahamas,855
203,Somalia,855
204,Gibraltar,852
205,Guam,838
206,Turks and Caicos Islands,832
207,Sri Lanka,825
208,US Virgin Islands,824
209,British Virgin Islands,809
210,Anguilla,791
211,San Marino,762
